car DodgeDemon
pull blip
seconds 8.0000000000000000
rate 48000.000000000000
slice 64.000000000000000
seed 1592594996.0000000
pure 0.0000000000000000
listener trackside
frames 384000.00000000000
firings 1168.0000000000000
pops 31.000000000000000
clipped 21559.000000000000
dropped 0.0000000000000000
spawned 34.000000000000000
peak 1.0000000000000000
rpmS 800.00000000001091
throttleS 1.6634639040044185e-110
loadS 0.045210727969349496
theta 105167.26842231059
sampleIndex 384000.00000000000
schemaFields 124.00000000000000
valveHz 10.000000000000000
silencerHz 24000.000000000000
intakeHz 220.00000000000000
valveGain 1.0000000000000000
thumpHz 36.200000000000017
spool 0.0000000000000000
boost 2.0473401895439278e-111
firingWalkDeg -5.0829132492740632
cycleIndex 146.00000000000000
meter0 0.39383438373635454
meter1 0.39041317486252181
meter2 0.34770254169956677
meter3 0.34602374160783095
meter4 0.0000000000000000
meter5 0.0000000000000000
meter6 0.038499015493937118
meter7 0.0000000000000000
meter8 0.52040775672375128
meter9 0.51780571581696078
meter10 0.025189425530003130
meter11 0.0000000000000000
