car Porsche918Spyder
pull blip
seconds 8.0000000000000000
rate 48000.000000000000
slice 64.000000000000000
seed 1592594996.0000000
pure 0.0000000000000000
listener trackside
frames 384000.00000000000
firings 1243.0000000000000
pops 124.00000000000000
clipped 21353.000000000000
dropped 0.0000000000000000
spawned 124.00000000000000
peak 1.0000000000000000
rpmS 1000.0000000000109
throttleS 1.6634639040044185e-110
loadS 0.068518518518520186
theta 111972.48624457902
sampleIndex 384000.00000000000
schemaFields 124.00000000000000
valveHz 299.99581600930838
silencerHz 24000.000000000000
intakeHz 220.00000000000000
valveGain 1.0000000000000000
thumpHz 66.875000000000014
spool 0.0000000000000000
boost 0.0000000000000000
firingWalkDeg 9.5313324057786541
cycleIndex 155.00000000000000
meter0 0.62557936024703464
meter1 0.62592804625252363
meter2 0.43382997378616756
meter3 0.43426944497019521
meter4 0.0000000000000000
meter5 0.0074761390906474493
meter6 0.11202629064588297
meter7 0.0000000000000000
meter8 0.47952995783175090
meter9 0.48723440963487008
meter10 0.0000000000000000
meter11 0.0000000000000000
