symbol	file	result	substitute	diagnostic
EditorScale	editor-scale.svg	ready	0	-
EditorSelect	editor-select.svg	ready	0	-
EditorSimulate	editor-simulate.svg	ready	0	-
EditorSnap	editor-snap.svg	ready	0	-
EditorSphereCollider	editor-sphere-collider.svg	ready	0	-
EditorSpotlight	editor-spotlight.svg	ready	0	-
EditorStop	editor-stop.svg	ready	0	-
EditorTexture	editor-texture.svg	ready	0	-
EditorTrigger	editor-trigger.svg	ready	0	-
EditorUnlock	editor-unlock.svg	ready	0	-
EditorVisibility	editor-visibility.svg	ready	0	-
EnvironmentExposure	environment-exposure.svg	ready	0	-
Fire	fire.svg	ready	0	-
FluidGlass	fluid-glass.svg	ready	0	-
Fluid	fluid.svg	ready	0	-
Fog	fog.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feColorMatrix, feComposite, feDisplacementMap, feTurbulence
Forest	forest.svg	ready	0	-
GameController	game-controller.svg	ready	0	-
GraphicsCard2D	graphics-card-2d.svg	ready	0	-
HardDrive	hard-drive.svg	ready	0	-
Home	home.svg	ready	0	-
LensFlare	lens-flare.svg	ready	0	-
LightArea2D	light-area-2d.svg	ready	0	-
LightIncandescent2D	light-incandescent-2d.svg	ready	0	-
LightPoint2D	light-point-2d.svg	ready	0	-
Lightning	lightning.svg	ready	0	-
Material	material.svg	ready	0	-
Mesh	mesh.svg	ready	0	-
Microphone	microphone.svg	ready	0	-
Moon	moon.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feColorMatrix, feComponentTransfer, feComposite, feFuncA, feTurbulence
Package	package.svg	ready	0	-
Rainbow	rainbow.svg	ready	0	-
Ram2D	ram-2d.svg	ready	0	-
RetroTerminal	retro-terminal.svg	ready	0	-
SkyScattering	sky-scattering.svg	ready	0	-
SlateAnimationCurve	slate-animation-curve.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateBuild	slate-build.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateClapboard	slate-clapboard.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateColorPicker	slate-color-picker.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateDocument	slate-document.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateFabric	slate-fabric.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, pattern, text
SlateFilmStrip	slate-film-strip.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateImageWidgetVariant2	slate-image-widget-variant2.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateImageWidgetVariant3	slate-image-widget-variant3.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateImageWidgetVariant4	slate-image-widget-variant4.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateImage	slate-image.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateLEDPanel	slate-l-e-d-panel.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateLantern	slate-lantern.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateLiveBroadcast	slate-live-broadcast.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateMeetingGrid	slate-meeting-grid.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateOldGamepadClassic	slate-old-gamepad-classic.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateRingLight	slate-ring-light.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateSceneHierarchy	slate-scene-hierarchy.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateScriptNode	slate-script-node.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateShaderNode	slate-shader-node.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateSpotlight	slate-spotlight.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateSpriteSheet	slate-sprite-sheet.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
